1	0	a	Somebody out there believed that who the other women mistrusted was that gossipy old guy at the taverna. [SEP] That gossipy old guy at the taverna believed that it was the other women who mistrusted somebody out there.
2	0	a	It was many analysts who an amphibious creature told that your son has a vast potential, and that he will find himself. [SEP] It was many analysts who an amphibious creature was told that your son has a vast potential, and that he will find himself by.
3	0	a	A scientist operating the magic wrist was who I hoped a prime candidate for intensive counseling visited. [SEP] I hoped that it was a prime candidate for intensive counseling who was visited by a scientist operating the magic wrist.
4	0	a	An adult white male was who literate children were disparaged by. [SEP] It was literate children who disparaged an adult white male.
5	1	a	The worker for frustration and burnout was who a guy or a girl was covered by. [SEP] The worker for frustration and burnout was who a guy or a girl was covered by.
6	1	a	A friend who will give her a job waiting tables to make ends meet was who was enticed by a senior scientist. [SEP] A senior scientist was who a friend who will give her a job waiting tables to make ends meet was enticed by.
7	0	a	The woman said it was an enticing candidate who the nearest witness was asked if they might use the car just this once by. [SEP] Who an enticing candidate said asked the woman if they might use the car just this once was the nearest witness.
8	1	a	It was the primary users of that tech who a stranger in a lifted truck was pandered to by. [SEP] A stranger in a lifted truck was who was pandered to by the primary users of that tech.
9	1	a	A nodding acquaintance with balcony neighbors and a beaming relationship was who ragged on the right actor. [SEP] It was a nodding acquaintance with balcony neighbors and a beaming relationship who ragged on the right actor.
10	0	a	Who the angry customers were orated to by was a bass player on the other, the journalist reported in yesterday's paper. [SEP] Who the angry customers, the journalist reported in yesterday's paper, orated to was a bass player on the other.
11	0	a	The greatest player of all time was harangued by some other traveler. [SEP] Who harangued some other traveler was the greatest player of all time.
12	1	a	Many contestants were cheated by some parents. [SEP] Some parents were who many contestants were cheated by.
13	0	a	The most impossible creature in the universe knew that it was many soviet and diplomatic sources in Moscow who the owner of the store was endured by by a Lyons plant operated by American Salt Co., a business sold by General Host last February. [SEP] The owner of the store knew the most impossible creature in the universe endured many soviet and diplomatic sources in Moscow by a Lyons plant operated by American Salt Co., a business sold by General Host last February.
14	0	a	A finance guy was who someone from my office discovered six nursery units collected. [SEP] Six nursery units discovered who someone from my office was collected by was a finance guy.
15	1	a	Who the male in question was stunned by were the pirates by force. [SEP] It was the male in question who the pirates stunned by force.
16	0	a	The previous owner conned an individual in the age of democratized publishing. [SEP] The previous owner was who an individual in the age of democratized publishing conned.
17	0	a	Who most young workers were going to feed bits of history were all abbots. [SEP] It was all abbots who most young workers were going to be fed bits of history by.
18	1	a	It was Alan who the male of the species was levitated by. [SEP] Who Alan levitated was the male of the species.
19	1	a	It was a false friend who displeased the sergeant. [SEP] A false friend was who the sergeant was displeased by.
20	1	a	An official said a guy who has no understanding of what we do and regards the media as not much more than a nuisance favored me. [SEP] An official said it was I who was favored by a guy who has no understanding of what we do and regards the media as not much more than a nuisance.
21	1	a	Who was halted by the former professor was the greatest cornet player. [SEP] It was the former professor who halted the greatest cornet player.
22	1	a	It was the male that made such improvements who a mean guy relaxed. [SEP] The male that made such improvements was who was relaxed by a mean guy.
23	0	a	An anonymous reader said that a copyright owner was who was catapulted by a single candidate. [SEP] An anonymous reader said that it was a copyright owner who a single candidate was catapulted by.
24	0	a	It was all those workers who were nagged by a health extension worker. [SEP] All those workers nagged a health extension worker.
25	0	a	Who clubbed a DOJ spokesman was an important player every day. [SEP] A DOJ spokesman was who an important player every day was clubbed by.
26	1	a	It was a mindfulness expert who many individuals of the same species hoped defied everyone. [SEP] Many individuals of the same species hoped that who defied everyone was a mindfulness expert.
27	0	a	It was some of the distinguished Protestants influential in the history of this predominantly Catholic country who this article argues an active customer was jabbed by. [SEP] This article argues that some of the distinguished Protestants influential in the history of this predominantly Catholic country were who were jabbed by an active customer.
28	1	a	It was this key witness who was changed by an owner from the ranks of ownership. [SEP] Who changed this key witness was an owner from the ranks of ownership.
29	1	a	Who was going to anger a legitimate candidate was Danielle. [SEP] Danielle was going to anger a legitimate candidate.
30	1	a	Anyway, who a team owner was unbuckled by was the lone customer. [SEP] Anyway, a team owner was who was unbuckled by the lone customer.
31	1	a	The medics believed it was some people who were going to be told I got a letter from home by an invisible friend. [SEP] The medics believed who an invisible friend was going to tell I got a letter from home were some people.
32	1	a	Speaking of surprises, Henry was who was crippled by a pioneering psychiatrist and trauma expert. [SEP] Speaking of surprises, a pioneering psychiatrist and trauma expert crippled Henry.
33	0	a	It was the Rottweiler who was defeated by an obvious candidate to be performed by a calculator. [SEP] The Rottweiler defeated an obvious candidate to be performed by a calculator.
34	0	a	The American people were who a candidate for office wrote. [SEP] The American people were who wrote a candidate for office.
35	1	a	Who pointed out the creature of the government of the day was the guy in the pink shirt. [SEP] The guy in the pink shirt pointed out the creature of the government of the day.
36	1	a	A potential customer was who I believed this guy driving his car like his hair was socked by. [SEP] It was this guy driving his car like his hair who I believed was socked by a potential customer.
37	1	a	It was a key prosecution witness who greeted a random political guy in charge. [SEP] A key prosecution witness was who a random political guy in charge was greeted by.
38	1	a	Who a very good tennis player who basically played only for money gave the power to form new combinations of old memories, ideas and experiences and to project them into their environment in new and ever-changing forms were the males. [SEP] It was a very good tennis player who basically played only for money who gave the males the power to form new combinations of old memories, ideas and experiences and to project them into their environment in new and ever-changing forms.
39	1	a	Who was persuaded by the charismatic leader was a dominating individual. [SEP] A dominating individual was persuaded by the charismatic leader.
40	0	a	It was the editors who stuck up for some owners. [SEP] It was some owners who the editors were stuck up for by.
41	1	a	Many black leaders were told how long he had been there by a marine scientist. [SEP] Who told many black leaders how long he had been there was a marine scientist.
42	1	a	An expert user was who was going to spook a pretty big guy. [SEP] An expert user was going to spook a pretty big guy.
43	0	a	As I heard it, some guy I met said that who that football guy was denied the obvious pleasure they derive from all this by were many top military scientists. [SEP] That football guy said some guy I met was who was denied the obvious pleasure they derive from all this by many top military scientists, as I heard it.
44	1	a	Who the other protected witness granted some leniency was a great topiary creature. [SEP] It was the other protected witness who a great topiary creature was granted some leniency by.
45	0	a	Who was amused by a leading suspect was the coroner. [SEP] The coroner was who a leading suspect was amused by.
46	1	a	The children who were securely attached, as I've been led to believe, told the herd what you're doing these days. [SEP] Who the children who were securely attached, as I've been led to believe, told what you're doing these days was the herd.
47	1	a	Who was located by a stronger candidate for job growth through the year were many cancer experts. [SEP] Who a stronger candidate for job growth through the year located were many cancer experts.
48	1	a	It was this flappy little guy we can get who was leashed by a Liverpool supporter. [SEP] A Liverpool supporter leashed this flappy little guy we can get.
49	0	a	It was the last guy who had a private railroad car who exempted a retired professional beach volleyball player. [SEP] It was the last guy who had a private railroad car who a retired professional beach volleyball player exempted.
50	1	a	The political leaders were attacked by the black nationalist leader who has been imprisoned. [SEP] It was the political leaders who the black nationalist leader who has been imprisoned attacked.
